Distribution of hits for query "([pos="CARD"][lemma=".*schüler|.*schülerin|Knabe|Mädchen|Tochter|Kind|Schüler|Schülerin|Bube"])|([lemma=".*schüler|.*schülerin|Knabe|Mädchen|Tochter|- Kind|Schüler|Schülerin|Bube"][pos= "CARD"])" returned 7,985 matches in 1,874 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
bmb_001_1858_009_92_95_e284	1034	3	2901.35
bmb_001_1859_010_49_53_e224	1693	1	590.67
bmb_001_1860_011_12_17_e240	2268	3	1322.75
bmb_001_1860_011_146_156_e323	2699	1	370.51
bmb_001_1860_011_59_60_e269	789	1	1267.43
bmb_001_1861_012_208_210_e399	774	17	21963.82
bmb_001_1861_012_28_30_e243	1021	3	2938.3
bmb_001_1862_013_11_14_e208	1289	23	17843.29
bmb_001_1862_013_162_164_e379	910	3	3296.7
bmb_001_1862_013_181_191_e396	5227	15	2869.71
bmb_001_1862_013_191_194_e398	1299	4	3079.29
bmb_001_1862_013_89_93_e295	1679	1	595.59
bmb_001_1863_014_153_153_e325	95	2	21052.63
bmb_001_1863_014_187_195_e348	4459	2	448.53
bmb_001_1863_014_29_32_e232	1738	2	1150.75
bmb_001_1863_014_41_42_e242	831	4	4813.48
bmb_001_1863_014_74_88_e277	6239	3	480.85
bmb_001_1864_015_107_115_e285	2562	1	390.32
bmb_001_1864_015_123_131_e293	3074	5	1626.55
bmb_001_1864_015_133_136_e299	1180	3	2542.37
bmb_001_1864_015_137_148_e300	4009	1	249.44
bmb_001_1864_015_21_27_e212	2675	1	373.83
bmb_001_1864_015_8_11_e204	1819	1	549.75
bmb_001_1865_016_162_163_e345	148	1	6756.76
bmb_001_1865_016_41_45_e241	1821	2	1098.3
bmb_001_1865_016_45_48_e243	1167	3	2570.69
bmb_001_1865_016_80_82_e282	999	1	1001
bmb_001_1866_017_125_130_e323	2548	1	392.46
bmb_001_1866_017_144_144_e336	208	1	4807.69
bmb_001_1866_017_18_19_e215	1098	3	2732.24
bmb_001_1866_017_35_35_e230	536	1	1865.67
bmb_001_1866_017_43_44_e239	349	1	2865.33
bmb_001_1866_017_92_95_e282	1253	2	1596.17
bmb_001_1867_018_115_124_e244	3661	5	1365.75
bmb_001_1869_020_113_117_e262	1507	4	2654.28
bmb_001_1870_020_103_104_e285	1041	1	960.61
bmb_001_1870_020_28_31_e228	1566	1	638.57
bmb_001_1870_020_7_8_e215	1294	1	772.8
bsf_001_1861_001_61_66_e39	1739	1	575.04
bsf_001_1861_001_97_98_e60	417	1	2398.08
bsf_001_1862_002_112_113_e76	361	5	13850.42
bsf_001_1862_002_206_208_e139	730	3	4109.59
bsf_001_1862_002_208_209_e141	553	2	3616.64
bsf_001_1862_002_226_233_e154	3066	1	326.16
bsf_001_1862_002_312_316_e214	1372	1	728.86
bsf_001_1862_002_359_366_e246	2386	1	419.11
bsf_001_1862_002_78_80_e54	702	2	2849
bsf_001_1863_003_121_125_e83	1197	2	1670.84
bsf_001_1863_003_148_153_e103	1737	1	575.71
bsf_001_1863_003_158_161_e106	980	1	1020.41
bsf_001_1863_003_174_174_e114	300	7	23333.33
bsf_001_1863_003_186_188_e123	715	1	1398.6
bsf_001_1863_003_188_192_e124	1474	1	678.43
bsf_001_1863_003_205_207_e136	919	1	1088.14
bsf_001_1863_003_224_225_e146	832	7	8413.46
bsf_001_1863_003_241_241_e157	101	1	9900.99
bsf_001_1863_003_245_253_e163	3232	1	309.41
bsf_001_1863_003_297_304_e200	2537	8	3153.33
bsf_001_1864_004_111_113_e72	775	1	1290.32
bsf_001_1864_004_11_14_e9	1155	1	865.8
bsf_001_1864_004_126_127_e81	737	6	8141.11
bsf_001_1864_004_134_136_e89	783	1	1277.14
bsf_001_1864_004_137_138_e90	425	1	2352.94
bsf_001_1864_004_14_16_e11	717	2	2789.4
bsf_001_1864_004_172_176_e111	1566	3	1915.71
bsf_001_1864_004_22_26_e18	1478	1	676.59
bsf_001_1864_004_236_240_e145	1636	1	611.25
bsf_001_1864_004_240_241_e146	464	3	6465.52
bsf_001_1864_004_242_247_e150	2307	1	433.46
bsf_001_1864_004_250_253_e152	1037	8	7714.56
bsf_001_1864_004_254_257_e155	1162	4	3442.34
bsf_001_1864_004_266_269_e161	1048	5	4770.99
bsf_001_1864_004_274_276_e169	847	1	1180.64
bsf_001_1864_004_29_33_e22	1553	3	1931.75
