Distribution of hits for query "[word =".*statist.*"%c]" returned 3,215 matches in 949 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
skb_002_1840_000_19_80_e557	15798	2	126.6
skb_002_1840_000_300_332_e564	8111	1	123.29
skb_002_1840_000_333_371_e565	9501	1	105.25
skb_002_1840_000_407_444_e567	9597	2	208.4
skb_002_1842_000_158_201_e311	11425	4	350.11
skb_002_1842_000_71_115_e309	11267	1	88.75
skb_002_1843_000_147_184_e288	10261	3	292.37
skb_002_1843_000_25_68_e285	11704	1	85.44
skb_002_1844_000_147_186_e290	10933	3	274.4
skb_002_1844_000_36_73_e287	10232	1	97.73
skb_003_1849_000_127_199_e557	17206	1	58.12
skb_003_1849_000_17_126_e556	28698	3	104.54
skb_003_1849_000_228_302_e559	14115	1	70.85
skb_003_1849_000_320_394_e561	20246	3	148.18
skb_004_1850_000_105_131_e200	9761	4	409.79
skb_004_1850_000_18_49_e197	9834	2	203.38
skb_004_1851_000_111_157_e273	11195	1	89.33
skb_004_1851_000_158_191_e274	10142	2	197.2
skb_004_1851_000_25_74_e271	13441	2	148.8
skb_004_1852_000_218_273_e341	13986	2	143
skb_004_1852_000_84_112_e326	7830	4	510.86
skb_004_1853_000_154_176_e344	7545	4	530.15
skb_004_1853_000_19_58_e337	10162	1	98.41
skb_004_1853_000_246_277_e359	6636	2	301.39
skb_004_1855_000_12_39_e388	8278	1	120.8
skb_004_1855_000_178_194_e397	5819	3	515.55
skb_004_1855_000_260_275_e405	2659	1	376.08
skb_004_1856_000_14_63_e527	16154	5	309.52
skb_004_1856_000_277_287_e540	1937	1	516.26
skb_004_1856_000_358_393_e547	9162	1	109.15
skb_004_1857_000_126_239_e441	26105	1	38.31
skb_004_1857_000_14_80_e437	16890	59	3493.19
skb_004_1857_000_239_261_e445	6055	1	165.15
skb_004_1858_000_161_220_e422	14468	2	138.24
skb_004_1858_000_17_35_e417	6101	1	163.91
skb_004_1858_000_221_249_e423	6705	4	596.57
skb_004_1858_000_250_289_e424	11340	2	176.37
skb_004_1858_000_56_113_e419	14833	1	67.42
skb_004_1859_000_11_32_e526	5893	7	1187.85
skb_004_1859_000_224_303_e532	18349	1	54.5
skb_004_1859_000_304_330_e533	4998	4	800.32
skb_004_1859_000_331_380_e534	12724	4	314.37
skb_004_1859_000_33_55_e527	7168	3	418.53
skb_004_1859_000_86_155_e529	17681	1	56.56
skb_004_1860_000_13_29_e517	4404	6	1362.4
skb_004_1860_000_280_322_e523	8256	2	242.25
skb_004_1860_000_30_64_e518	7661	9	1174.78
skb_004_1860_000_323_388_e524	15356	2	130.24
skb_004_1860_000_389_424_e525	8006	1	124.91
skb_004_1861_000_13_33_e438	5989	4	667.89
skb_004_1861_000_215_242_e444	4921	2	406.42
skb_004_1861_000_34_70_e439	7594	5	658.41
skb_004_1861_000_71_82_e440	2598	1	384.91
skb_004_1862_000_13_35_e498	6669	7	1049.63
skb_004_1862_000_162_255_e503	18965	2	105.46
skb_004_1862_000_256_290_e504	6416	4	623.44
skb_004_1862_000_291_359_e505	16486	3	181.97
skb_004_1862_000_58_110_e500	12239	4	326.82
skb_004_1863_000_15_34_e561	5799	5	862.22
skb_004_1863_000_282_305_e568	4291	4	932.18
skb_004_1863_000_306_367_e569	14968	3	200.43
skb_004_1863_000_77_119_e563	9441	4	423.68
skb_004_1864_000_132_199_e658	16459	22	1336.65
skb_004_1864_000_15_59_e656	20907	7	334.82
skb_004_1864_000_278_368_e661	19098	2	104.72
skb_004_1864_000_369_440_e662	14044	3	213.61
skb_004_1864_000_465_540_e664	18049	2	110.81
skb_004_1865_000_104_141_e452	11600	14	1206.9
skb_004_1865_000_142_185_e453	10956	3	273.82
skb_004_1865_000_266_307_e456	9344	2	214.04
skb_004_1866_000_155_166_e661	4177	1	239.41
skb_004_1866_000_167_232_e662	16827	3	178.28
skb_004_1866_000_285_336_e666	17758	1	56.31
skb_004_1866_000_358_384_e668	10082	12	1190.24
skb_004_1866_000_409_464_e670	16391	21	1281.19
skb_004_1866_000_618_635_e678	5809	9	1549.32
skb_004_1867_000_283_294_e659	3279	3	914.91
skb_004_1867_000_360_452_e665	22798	3	131.59
skb_004_1867_000_453_496_e666	14412	2	138.77
skb_004_1867_000_497_522_e667	8546	3	351.04
skb_004_1867_000_523_570_e668	11325	1	88.3
skb_004_1867_000_577_584_e670	1568	1	637.76
skb_004_1867_000_86_179_e653	20126	1	49.69
skb_004_1868_000_207_304_e570	20761	1	48.17
skb_004_1868_000_26_96_e567	21449	1	46.62
skb_004_1868_000_321_338_e572	6259	5	798.85
skb_004_1868_000_339_382_e573	14904	2	134.19
skb_004_1868_000_423_474_e575	13103	2	152.64
skb_004_1868_000_517_558_e585	11979	5	417.4
skb_004_1868_000_97_110_e568	4918	7	1423.34
skb_004_1869_000_13_16_e512	926	2	2159.83
skb_004_1869_000_291_340_e505	15525	1	64.41
skb_004_1869_000_380_393_e507	4220	5	1184.83
skb_004_1869_000_483_492_e514	2455	4	1629.33
skb_004_1869_000_83_97_e501	4648	8	1721.17
skz_001_1832_001_13_20_e19	5057	1	197.75
skz_001_1833_002_379_386_e493	6563	1	152.37
skz_001_1836_005_163_170_e187	7481	1	133.67
skz_001_1838_007_184_191_e210	7331	1	136.41
skz_001_1838_007_328_335_e372	7292	1	137.14
skz_001_1838_007_360_367_e408	7294	1	137.1
skz_001_1838_007_48_55_e57	7377	1	135.56
skz_001_1839_008_214_221_e244	7174	1	139.39
skz_001_1839_008_262_269_e298	7013	2	285.18
skz_001_1839_008_286_293_e325	6728	1	148.63
skz_001_1839_008_302_309_e478	6900	1	144.93
skz_001_1839_008_342_349_e467	7521	1	132.96
skz_001_1839_008_86_93_e101	7431	1	134.57
skz_001_1840_009_173_180_e454	7279	1	137.38
skz_001_1840_009_25_32_e436	6985	1	143.16
skz_001_1841_010_136_143_e447	6992	1	143.02
skz_001_1841_010_346_353_e473	7245	1	138.03
