Query “[word=".*tabell.*"%c]” returned 4,833 matches in 1,054 different texts (in 74,096,351 words [13,306 texts]; frequency: 65.23 instances per million words).

Showing frequency breakdown of words in this query, at the query node; there are 458 different types and 4,833 tokens at this concordance position.  [0.018 seconds - retrieved from cache]

__________________

No.	Search result	No. of occurrences	Percent
415	Verkehrstabellen	1	0.02
416	Verlusttabellen	1	0.02
417	VerpflegungStabelle	1	0.02
418	Versäumnisstabellen	1	0.02
419	Vervielfachungstabell«	1	0.02
420	Verwandlungstabelle	1	0.02
421	Viehzahlungötabellcn	1	0.02
422	Visitationstabellen	1	0.02
423	völkerungstabelle	1	0.02
424	Volkszählungstabellen	1	0.02
425	Vorlegetabelle	1	0.02
426	Vruchtabelle	1	0.02
427	Waarentabelle	1	0.02
428	Wandtabellc	1	0.02
429	Wandtabelle	1	0.02
430	Wandtabellenwerkes	1	0.02
431	Wandtabelleu	1	0.02
432	Wechselcourstabellcn	1	0.02
433	Wechselcourstabelle	1	0.02
434	Wechseltabelle	1	0.02
435	Wechselverfalltabelle	1	0.02
436	Wechselverfalltabellen	1	0.02
437	Weinjahrötabelle	1	0.02
438	werbungstabellen	1	0.02
439	Werthvergleichungstabelle	1	0.02
440	Wicderholnngstabellcn	1	0.02
441	Wind-Tabelle	1	0.02
442	Witteruttgstabelle	1	0.02
443	Yergleichungstabelle	1	0.02
444	YVecliseltabellen	1	0.02
445	Zahlenanschauungstabellen	1	0.02
446	Zahlentabelle	1	0.02
447	Zählunghtabellen	1	0.02
448	Zeichnungstabellen	1	0.02
449	Zeichnungstabellenwerk	1	0.02
450	Zeittabelle	1	0.02
451	Zensurtabellen	1	0.02
452	Zensustabellen	1	0.02
453	Zinsentabellen	1	0.02
454	Zinsrechnungstabellen	1	0.02
455	Zolltabell	1	0.02
456	Zollübersichtstabelle	1	0.02
457	_Reductionstabellcn	1	0.02
458	©ttabella	1	0.02
