Number;Word;Freq 1;Freq 1 (per mill);Freq 2;Freq 2 (per mill);+/-;Stat 1.;Stat 2.
12848;Liebste;147;1.5;31;0.37;+;2.04;66.24
12849;Oberhauptes;147;1.5;31;0.37;+;2.04;66.24
12850;Meeresfl„che;152;1.55;32;0.38;+;2.04;68.6
12851;Eisenvitriol;152;1.55;32;0.38;+;2.04;68.6
12852;Noviziat;157;1.6;33;0.39;+;2.04;70.96
12853;Wollen-;157;1.6;33;0.39;+;2.04;70.96
12854;18ZZ;166;1.69;35;0.41;+;2.04;74.81
12855;cui;171;1.74;36;0.42;+;2.04;77.17
12856;Erw„rmung;171;1.74;36;0.42;+;2.04;77.17
12857;spindeln;181;1.84;38;0.45;+;2.04;81.89
12858;Bundesbeh”rde;185;1.88;39;0.46;+;2.04;83.39
12859;299.;186;1.89;39;0.46;+;2.04;84.25
12860;Maden;186;1.89;39;0.46;+;2.04;84.25
12861;st”áen;200;2.04;42;0.49;+;2.04;90.47
12862;Eismeer;204;2.08;43;0.51;+;2.04;91.96
12863;Audienz;204;2.08;43;0.51;+;2.04;91.96
12864;R”thenbach;205;2.09;43;0.51;+;2.04;92.83
12865;Gebr„uchliche;218;2.22;46;0.54;+;2.04;98.18
12866;Gedeihens;223;2.27;47;0.55;+;2.04;100.54
12867;triften;228;2.32;48;0.57;+;2.04;102.9
12868;Mediziner;233;2.37;49;0.58;+;2.04;105.26
12869;allm„hligen;257;2.62;54;0.64;+;2.04;116.19
12870;H„ttest;267;2.72;56;0.66;+;2.04;120.91
12871;CB;290;2.95;61;0.72;+;2.04;130.98
12872;auSging;304;3.1;64;0.75;+;2.04;137.2
12873;spend;333;3.39;70;0.82;+;2.04;150.49
12874;Schulstellen;337;3.43;71;0.84;+;2.04;151.99
12875;Gesandtschaften;346;3.52;73;0.86;+;2.04;155.84
12876;Muralt;399;4.06;84;0.99;+;2.04;180.07
12877;Uebermaá;424;4.32;89;1.05;+;2.04;191.87
12878;elektrizit„t;437;4.45;92;1.08;+;2.04;197.22
12879;Kolonien;624;6.35;131;1.54;+;2.04;282.34
12880;eigentª;669;6.81;141;1.66;+;2.04;301.62
12881;Weinberge;684;6.97;144;1.7;+;2.04;308.7
12882;gr”áen;1257;12.8;264;3.11;+;2.04;568.54
12883;Praktischer;1416;14.42;297;3.5;+;2.04;641.23
12884;Dick;1585;16.14;333;3.92;+;2.04;716.68
12885;oberst;3974;40.47;837;9.86;+;2.04;1792.83
12886;Ergebniá;4086;41.61;859;10.11;+;2.04;1846.48
12887;Anerkennung;5819;59.26;1226;14.44;+;2.04;2624.42
12888;Goldbach;99;1.01;21;0.25;+;2.03;44.37
12889;lsten;99;1.01;21;0.25;+;2.03;44.37
12890;Domingo;104;1.06;22;0.26;+;2.03;46.73
12891;Trmpi;104;1.06;22;0.26;+;2.03;46.73
12892;ausw„rª;113;1.15;24;0.28;+;2.03;50.59
12893;Rothtanne;113;1.15;24;0.28;+;2.03;50.59
12894;Studie;113;1.15;24;0.28;+;2.03;50.59
12895;Geographen;118;1.2;25;0.29;+;2.03;52.95
12896;H„mmern;123;1.25;26;0.31;+;2.03;55.31
12897;Nordª;132;1.34;28;0.33;+;2.03;59.16
